# Emission spectrum of  in basic ethanol
#
# Data downloaded from http://omlc.org/spectra/PhotochemCAD/html/037.html
#
# Data from PhotochemCAD 2.1a has been munged on 26 February 2012 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by  on on 06-20-1995 
# using a Spex FluoroMax.   The excitation and emission monochromators were set at 1 mm, giving a spectral bandwidth of 4.25 nm.  The data interval was 0.5 nm and the integration time was 2.0 sec. Samples were prepared in 1cm pathlength quartz cells with absorbance less than 0.1 at the excitation and all emission wavelengths to uniformly illuminate across the sample, and to avoid the inner-filter effect.  The dark counts were subtracted and the spectra were corrected for wavelength-dependent instrument sensitivity.
#
##Wavelength (nm)	Emission (AU)
480	148
480.5	149
481	155
481.5	140
482	148
482.5	121
483	210
483.5	175
484	260
484.5	294
485	327
485.5	390
486	464
486.5	573
487	613
487.5	722
488	754
488.5	812
489	928
489.5	1008
490	982
490.5	1129
491	1199
491.5	1239
492	1366
492.5	1576
493	1588
493.5	1731
494	1798
494.5	1892
495	2090
495.5	2275
496	2292
496.5	2652
497	2940
497.5	3271
498	3450
498.5	3979
499	4324
499.5	4799
500	5208
500.5	5901
501	6448
501.5	7489
502	7981
502.5	8957
503	9587
503.5	11028
504	11545
504.5	13009
505	13834
505.5	16198
506	16643
506.5	19005
507	20698
507.5	23720
508	25327
508.5	27902
509	31719
509.5	35221
510	37882
510.5	42671
511	47111
511.5	52872
512	57254
512.5	63407
513	69791
513.5	78554
514	84987
514.5	94291
515	102366
515.5	117027
516	125256
516.5	139233
517	149731
517.5	168796
518	179643
518.5	198924
519	213893
519.5	238453
520	252130
520.5	278274
521	296848
521.5	328749
522	347581
522.5	380474
523	405199
523.5	443332
524	467416
524.5	500251
525	536129
525.5	576891
526	604742
526.5	647773
527	685176
527.5	729499
528	755634
528.5	802635
529	837338
529.5	883260
530	912650
530.5	956798
531	986959
531.5	1031993
532	1055551
532.5	1089761
533	1117956
533.5	1155790
534	1168742
534.5	1198886
535	1219870
535.5	1244918
536	1258746
536.5	1279238
537	1290772
537.5	1307629
538	1314696
538.5	1326346
539	1330000
539.5	1336554
540	1340402
540.5	1339907
541	1338912
541.5	1335336
542	1335813
542.5	1326146
543	1321528
543.5	1307468
544	1298822
544.5	1287736
545	1275339
545.5	1259514
546	1249712
546.5	1227717
547	1218373
547.5	1194358
548	1186612
548.5	1156410
549	1148391
549.5	1116381
550	1109777
550.5	1082385
551	1065144
551.5	1039480
552	1023555
552.5	1001391
553	982436
553.5	954378
554	941800
554.5	919575
555	898203
555.5	875380
556	863669
556.5	842560
557	824570
557.5	801052
558	791819
558.5	775161
559	759868
559.5	740294
560	727228
560.5	710371
561	696563
561.5	679826
562	670702
562.5	655746
563	641149
563.5	624606
564	615942
564.5	603573
565	591247
565.5	577744
566	571173
566.5	560120
567	553351
567.5	539302
568	533211
568.5	524365
569	517009
569.5	508081
570	500722
570.5	492195
571	488759
571.5	478847
572	474901
572.5	469833
573	465342
573.5	455334
574	451226
574.5	447535
575	445263
575.5	439586
576	432791
576.5	429617
577	425932
577.5	420737
578	417207
578.5	414276
579	409727
579.5	405335
580	405380
580.5	399885
581	395929
581.5	393022
582	389964
582.5	386782
583	382354
583.5	379398
584	377505
584.5	374399
585	371061
585.5	366100
586	363270
586.5	358128
587	353493
587.5	348489
588	346467
588.5	342609
589	337576
589.5	333527
590	330331
590.5	324149
591	319889
591.5	316061
592	312057
592.5	308088
593	303813
593.5	297075
594	294203
594.5	287387
595	285639
595.5	279318
596	276652
596.5	270284
597	266334
597.5	260763
598	257432
598.5	252361
599	248510
599.5	240015
600	237156
600.5	233436
601	228653
601.5	223445
602	218178
602.5	214375
603	208528
603.5	205428
604	201067
604.5	197324
605	193176
605.5	188097
606	185775
606.5	182541
607	179388
607.5	174244
608	172336
608.5	167836
609	166165
609.5	158596
610	158386
610.5	153634
611	151034
611.5	146084
612	144830
612.5	140515
613	137820
613.5	135096
614	132522
614.5	129638
615	127148
615.5	124396
616	122544
616.5	120041
617	116476
617.5	114161
618	113324
618.5	109720
619	107718
619.5	105353
620	104750
620.5	101559
621	101021
621.5	98440
622	97809
622.5	95382
623	92838
623.5	91264
624	89767
624.5	87518
625	85613
625.5	84334
626	82562
626.5	80879
627	80368
627.5	77041
628	76651
628.5	76404
629	75408
629.5	73822
630	73172
630.5	72063
631	70586
631.5	68797
632	69495
632.5	68530
633	67726
633.5	65431
634	65260
634.5	64162
635	63264
635.5	62383
636	60528
636.5	60182
637	59607
637.5	58177
638	58092
638.5	56611
639	55825
639.5	55518
640	55189
640.5	54332
641	52873
641.5	53227
642	52464
642.5	51163
643	50419
643.5	49974
644	48869
644.5	48457
645	47984
645.5	46026
646	47153
646.5	45825
647	45168
647.5	44232
648	44630
648.5	42995
649	42111
649.5	39884
650	41049
650.5	39226
651	39767
651.5	38930
652	38174
652.5	37688
653	37728
653.5	36536
654	36159
654.5	35031
655	34697
655.5	34313
656	33747
656.5	32934
657	32843
657.5	31782
658	30961
658.5	30413
659	30951
659.5	30468
660	29402
660.5	28576
661	27982
661.5	28286
662	27020
662.5	26376
663	25649
663.5	25086
664	25258
664.5	24204
665	23771
665.5	23930
666	23405
666.5	22936
667	22483
667.5	21747
668	21289
668.5	21193
669	21324
669.5	20136
670	20279
670.5	19944
671	19090
671.5	18635
672	18470
672.5	18081
673	18638
673.5	17276
674	16860
674.5	16118
675	16110
675.5	15679
676	15294
676.5	15521
677	15143
677.5	15365
678	14434
678.5	14579
679	13983
679.5	13967
680	13620
680.5	13249
681	13046
681.5	11765
682	12431
682.5	11947
683	11881
683.5	11592
684	11527
684.5	10859
685	10358
685.5	10493
686	10881
686.5	10041
687	10296
687.5	9212
688	9458
688.5	9310
689	9379
689.5	9037
690	8863
690.5	8661
691	9345
691.5	8706
692	8508
692.5	7817
693	7860
693.5	7601
694	7586
694.5	7352
695	7097
695.5	7215
696	6913
696.5	7109
697	6899
697.5	6441
698	6302
698.5	6464
699	6478
699.5	6051
700	6103
